checking_account,duration_months,credit_history,purpose,credit_amount,savings_account,employment_since,installment_rate,personal_status,other_debtors,residence_since,property,age_years,other_installments,housing,existing_credits,job,num_dependents,telephone,foreign_worker,default
0_to_200,67,existing_paid,domestic,4219,500_to_1000,1_to_4yr,1,male_single,none,3,savings_insurance,44,none,own,1,skilled,2,none,yes,1
less_0,20,existing_paid,furniture,3215,less_100,over_7yr,3,male_single,guarantor,3,no_property,56,none,own,1,unskilled_resident,1,none,yes,1
no_checking,15,critical,others,4569,less_100,4_to_7yr,2,male_single,none,4,real_estate,43,bank,rent,4,skilled,2,none,yes,1
no_checking,25,existing_paid,car,9225,less_100,1_to_4yr,1,female_div,none,4,car,22,none,own,2,skilled,1,none,yes,1
0_to_200,20,existing_paid,car,7358,no_known_savings,1_to_4yr,2,male_single,none,1,savings_insurance,59,none,rent,2,skilled,1,none,yes,1
no_checking,13,existing_paid,domestic,9391,500_to_1000,less_1yr,2,male_single,none,2,no_property,63,none,own,4,skilled,1,none,yes,1
no_checking,68,no_credits,retraining,16678,less_100,over_7yr,3,male_single,none,4,real_estate,59,none,own,2,skilled,2,none,yes,0
less_0,25,existing_paid,car,2060,less_100,4_to_7yr,1,male_single,none,3,real_estate,56,none,own,2,unskilled_resident,2,none,yes,1
0_to_200,53,no_credits,others,10523,less_100,less_1yr,3,male_single,none,1,real_estate,71,none,own,2,skilled,1,yes,yes,0
less_0,17,existing_paid,domestic,9271,less_100,1_to_4yr,4,female_div,none,1,savings_insurance,37,none,own,3,skilled,1,none,yes,1
no_checking,67,existing_paid,radio_tv,6614,over_1000,less_1yr,4,male_single,none,2,real_estate,32,none,own,4,unskilled_resident,2,yes,yes,1
0_to_200,50,critical,car,2831,less_100,over_7yr,1,female_div,none,4,no_property,39,none,own,1,unskilled_resident,2,none,yes,0
no_checking,32,existing_paid,domestic,941,less_100,less_1yr,2,male_single,none,4,car,33,none,rent,3,skilled,1,yes,yes,0
no_checking,39,existing_paid,others,1181,500_to_1000,4_to_7yr,1,male_single,none,1,car,21,bank,own,1,unskilled_resident,2,yes,yes,1
0_to_200,55,critical,education,13378,no_known_savings,less_1yr,1,male_single,none,3,car,55,none,free,4,skilled,2,none,yes,0
less_0,10,critical,education,14476,less_100,4_to_7yr,4,male_single,none,4,real_estate,71,none,own,4,unskilled_resident,1,none,yes,1
0_to_200,32,existing_paid,car,14111,less_100,4_to_7yr,4,male_single,none,3,savings_insurance,68,none,own,4,skilled,2,none,yes,1
less_0,14,existing_paid,furniture,15725,less_100,4_to_7yr,2,male_single,guarantor,1,no_property,64,bank,own,2,unskilled_resident,2,yes,yes,1
less_0,36,existing_paid,education,3656,less_100,1_to_4yr,2,female_div,none,4,no_property,34,none,own,3,skilled,1,none,yes,0
no_checking,9,existing_paid,furniture,8589,500_to_1000,over_7yr,1,female_div,none,3,no_property,32,none,own,4,highly_qualified,2,yes,yes,1
no_checking,35,critical,radio_tv,17666,less_100,less_1yr,3,male_single,none,1,no_property,27,none,own,1,skilled,1,none,yes,0
no_checking,54,existing_paid,domestic,17945,less_100,1_to_4yr,1,male_single,none,3,real_estate,65,none,own,2,skilled,2,none,yes,1
no_checking,61,critical,repairs,8829,over_1000,less_1yr,2,male_single,none,4,real_estate,25,none,own,2,skilled,1,none,yes,1
over_200,29,existing_paid,others,3371,less_100,over_7yr,3,male_single,none,2,real_estate,32,none,own,3,unskilled_resident,2,yes,yes,1
less_0,49,existing_paid,domestic,16196,less_100,1_to_4yr,4,male_single,guarantor,3,savings_insurance,24,none,free,3,unskilled_resident,1,none,yes,1
0_to_200,32,existing_paid,others,3998,less_100,4_to_7yr,2,male_div,none,2,real_estate,39,bank,own,3,unskilled_resident,2,yes,yes,1
less_0,7,existing_paid,radio_tv,527,500_to_1000,4_to_7yr,2,male_single,none,4,savings_insurance,33,none,own,2,highly_qualified,2,none,yes,1
0_to_200,16,delayed,business,11813,less_100,less_1yr,3,male_single,none,2,car,70,none,own,4,skilled,2,none,yes,0
less_0,42,existing_paid,car,7042,less_100,less_1yr,2,male_single,none,1,no_property,26,none,rent,1,skilled,1,yes,yes,1
less_0,18,existing_paid,others,14168,100_to_500,less_1yr,2,male_single,none,2,no_property,52,none,own,4,highly_qualified,2,yes,yes,1
less_0,32,existing_paid,others,10624,less_100,1_to_4yr,2,female_div,none,3,no_property,58,bank,own,1,highly_qualified,1,none,yes,1
no_checking,32,delayed,furniture,4925,less_100,less_1yr,2,male_single,none,3,real_estate,19,none,own,4,skilled,2,none,yes,0
0_to_200,35,existing_paid,domestic,1420,100_to_500,unemployed,2,male_single,none,2,real_estate,50,none,own,3,skilled,2,yes,yes,1
no_checking,5,existing_paid,business,8931,less_100,over_7yr,2,female_div,none,1,car,67,none,own,1,skilled,2,none,yes,1
no_checking,50,delayed,retraining,10967,100_to_500,over_7yr,2,male_single,none,4,savings_insurance,69,stores,free,2,unskilled_resident,2,yes,yes,0
less_0,25,critical,car,12700,over_1000,1_to_4yr,2,female_div,none,2,real_estate,23,none,own,1,skilled,2,none,yes,0
no_checking,30,existing_paid,repairs,10930,less_100,1_to_4yr,4,female_div,none,3,savings_insurance,48,none,rent,2,skilled,2,none,yes,1
over_200,70,existing_paid,retraining,10318,less_100,unemployed,2,male_single,none,3,real_estate,40,none,own,4,highly_qualified,1,yes,yes,1
over_200,59,critical,domestic,2712,100_to_500,4_to_7yr,4,female_div,none,2,car,38,none,own,3,skilled,1,none,yes,1
0_to_200,24,critical,car,13900,100_to_500,over_7yr,4,male_single,none,2,savings_insurance,34,none,free,1,skilled,2,yes,yes,1
no_checking,50,critical,others,537,less_100,less_1yr,1,male_single,none,2,car,25,none,own,2,skilled,2,yes,yes,1
no_checking,62,delayed,repairs,1411,no_known_savings,less_1yr,1,male_single,none,4,car,25,none,own,4,unskilled_resident,2,yes,yes,0
0_to_200,9,existing_paid,furniture,16763,less_100,4_to_7yr,4,male_single,none,3,savings_insurance,68,none,free,3,skilled,2,none,yes,1
less_0,22,existing_paid,business,2613,less_100,1_to_4yr,4,female_div,none,3,real_estate,68,none,own,3,skilled,2,yes,yes,1
over_200,60,existing_paid,furniture,6233,less_100,unemployed,2,male_div,co-applicant,3,real_estate,20,none,free,3,skilled,1,yes,no,1
over_200,72,existing_paid,radio_tv,16777,less_100,1_to_4yr,1,male_married,none,4,savings_insurance,65,none,own,4,skilled,2,none,yes,1
0_to_200,6,delayed,car,8457,less_100,1_to_4yr,3,female_div,none,1,no_property,32,none,free,4,unskilled_resident,2,none,yes,1
no_checking,4,existing_paid,furniture,15008,less_100,1_to_4yr,1,male_single,none,3,no_property,49,none,own,4,skilled,1,none,yes,1
no_checking,61,existing_paid,retraining,494,less_100,4_to_7yr,4,male_single,guarantor,3,car,68,none,own,3,skilled,1,yes,yes,1
0_to_200,41,no_credits,furniture,17560,less_100,over_7yr,4,male_single,none,1,real_estate,59,stores,own,1,skilled,1,yes,yes,0
no_checking,18,existing_paid,education,3428,less_100,1_to_4yr,2,male_single,guarantor,4,car,32,bank,free,2,skilled,2,yes,yes,1
no_checking,37,critical,radio_tv,2426,less_100,over_7yr,2,male_single,none,1,car,23,bank,own,4,unskilled_resident,2,yes,yes,1
less_0,64,existing_paid,domestic,5252,less_100,1_to_4yr,1,male_married,none,1,savings_insurance,29,none,own,1,unskilled_resident,2,none,yes,1
over_200,38,delayed,business,1136,less_100,4_to_7yr,2,male_single,none,1,car,58,none,own,2,skilled,2,none,yes,1
0_to_200,67,existing_paid,radio_tv,13971,less_100,1_to_4yr,3,male_single,guarantor,1,savings_insurance,23,stores,own,3,skilled,2,none,yes,1
less_0,28,critical,education,12392,less_100,over_7yr,3,male_single,none,4,car,47,none,own,1,skilled,1,none,yes,0
no_checking,27,critical,car,2904,over_1000,over_7yr,2,female_div,none,4,car,29,none,own,3,highly_qualified,2,none,no,1
less_0,15,existing_paid,retraining,12234,less_100,less_1yr,3,female_div,none,1,real_estate,23,none,own,2,unskilled_resident,2,yes,yes,1
over_200,21,critical,business,18005,over_1000,over_7yr,3,female_div,none,2,no_property,67,none,rent,4,unskilled_nonresident,2,yes,yes,1
no_checking,18,existing_paid,business,7385,less_100,over_7yr,1,male_single,none,2,real_estate,72,none,own,3,skilled,1,none,yes,1
less_0,30,critical,radio_tv,570,less_100,4_to_7yr,3,female_div,none,2,real_estate,50,none,own,1,skilled,2,yes,yes,1
0_to_200,63,existing_paid,car,4904,500_to_1000,less_1yr,4,male_single,none,2,no_property,54,bank,own,4,skilled,2,none,yes,1
0_to_200,49,existing_paid,others,16381,less_100,over_7yr,4,male_div,none,3,no_property,33,bank,own,1,skilled,2,none,yes,1
0_to_200,20,existing_paid,education,11020,less_100,over_7yr,1,male_single,none,4,real_estate,37,none,own,2,skilled,2,yes,no,1
0_to_200,56,delayed,others,6803,less_100,less_1yr,2,male_single,none,4,savings_insurance,40,none,own,2,unskilled_resident,1,none,yes,1
no_checking,11,critical,retraining,11809,less_100,over_7yr,1,male_single,none,1,real_estate,52,none,own,4,highly_qualified,1,yes,yes,1
no_checking,30,critical,car,9259,no_known_savings,unemployed,2,female_div,none,3,savings_insurance,74,bank,own,1,unskilled_resident,1,yes,yes,1
0_to_200,49,delayed,car,13732,less_100,less_1yr,2,male_single,none,1,no_property,35,bank,own,1,skilled,2,yes,yes,0
0_to_200,53,existing_paid,education,7748,no_known_savings,1_to_4yr,2,male_div,none,1,no_property,30,none,rent,1,skilled,1,none,yes,1
0_to_200,6,all_paid,repairs,6886,no_known_savings,1_to_4yr,2,male_single,guarantor,4,car,43,none,own,1,skilled,1,none,yes,0
0_to_200,67,existing_paid,others,7612,over_1000,4_to_7yr,2,male_single,none,3,savings_insurance,74,none,own,2,skilled,2,none,yes,1
less_0,47,existing_paid,furniture,16645,less_100,unemployed,1,male_single,none,2,car,35,none,own,1,skilled,2,yes,yes,1
less_0,56,existing_paid,business,16828,less_100,over_7yr,2,male_single,co-applicant,4,savings_insurance,28,none,rent,2,skilled,1,yes,yes,1
0_to_200,27,existing_paid,repairs,2787,100_to_500,unemployed,3,male_single,co-applicant,3,no_property,46,none,free,1,unskilled_resident,1,none,yes,1
less_0,63,critical,furniture,15466,less_100,less_1yr,3,male_single,none,3,no_property,36,none,own,1,unskilled_resident,1,yes,yes,0
0_to_200,6,existing_paid,education,3259,no_known_savings,unemployed,2,female_div,none,4,car,69,stores,own,3,skilled,1,none,yes,1
0_to_200,23,existing_paid,business,14459,less_100,1_to_4yr,3,male_single,none,4,savings_insurance,36,none,own,3,skilled,2,none,yes,1
0_to_200,49,existing_paid,domestic,15925,less_100,over_7yr,4,male_married,none,1,savings_insurance,63,none,own,1,skilled,2,yes,yes,1
no_checking,18,critical,furniture,15279,less_100,4_to_7yr,1,female_div,none,1,real_estate,50,none,own,2,unskilled_resident,1,yes,yes,1
no_checking,28,existing_paid,repairs,2327,less_100,over_7yr,1,female_div,none,1,no_property,32,none,own,1,skilled,1,none,yes,1
no_checking,20,existing_paid,furniture,14157,over_1000,unemployed,2,male_single,none,2,savings_insurance,74,none,own,3,unskilled_resident,1,none,yes,1
less_0,12,existing_paid,furniture,4117,less_100,1_to_4yr,2,male_single,none,4,savings_insurance,34,bank,own,1,highly_qualified,2,none,yes,1
no_checking,41,existing_paid,education,16402,less_100,1_to_4yr,4,male_single,none,3,savings_insurance,68,bank,own,3,skilled,2,none,yes,0
less_0,51,existing_paid,others,5123,less_100,1_to_4yr,2,female_div,co-applicant,4,no_property,36,bank,own,1,skilled,2,yes,yes,0
less_0,63,no_credits,domestic,8885,no_known_savings,less_1yr,3,male_div,none,3,real_estate,34,bank,own,4,highly_qualified,1,none,yes,0
no_checking,66,critical,education,547,500_to_1000,4_to_7yr,4,male_single,guarantor,2,no_property,35,none,free,1,skilled,2,none,yes,1
less_0,5,existing_paid,retraining,13345,no_known_savings,1_to_4yr,3,male_single,guarantor,4,no_property,25,none,own,2,unskilled_resident,1,none,yes,1
no_checking,14,critical,education,9286,less_100,4_to_7yr,1,female_div,none,3,no_property,30,stores,free,3,skilled,1,yes,yes,0
no_checking,67,existing_paid,business,1265,100_to_500,1_to_4yr,3,male_single,none,3,savings_insurance,52,none,rent,4,skilled,2,yes,yes,1
0_to_200,24,all_paid,domestic,1634,less_100,less_1yr,1,female_div,none,1,real_estate,28,none,own,3,skilled,1,yes,no,0
no_checking,21,critical,car,8995,less_100,4_to_7yr,3,male_single,none,2,savings_insurance,23,none,own,3,skilled,2,none,yes,0
no_checking,67,existing_paid,retraining,17903,less_100,less_1yr,1,female_div,none,4,savings_insurance,39,none,own,2,highly_qualified,2,yes,yes,1
less_0,41,delayed,radio_tv,1510,100_to_500,over_7yr,2,male_single,none,1,real_estate,21,none,own,1,skilled,1,none,yes,0
0_to_200,35,all_paid,education,7951,less_100,1_to_4yr,3,male_single,guarantor,2,car,37,bank,own,2,unskilled_nonresident,1,yes,yes,0
no_checking,14,existing_paid,furniture,10651,100_to_500,less_1yr,1,female_div,none,1,savings_insurance,63,none,rent,1,skilled,2,yes,yes,1
less_0,48,existing_paid,others,15769,no_known_savings,over_7yr,3,male_married,none,4,no_property,62,bank,own,4,skilled,2,none,yes,1
no_checking,36,critical,car,12114,less_100,1_to_4yr,4,male_single,none,3,real_estate,53,none,rent,2,skilled,2,none,yes,0
no_checking,44,no_credits,education,15931,100_to_500,less_1yr,2,male_single,none,4,car,24,none,own,2,skilled,2,none,yes,0
less_0,11,existing_paid,education,5793,less_100,1_to_4yr,1,female_div,co-applicant,2,no_property,32,none,rent,3,skilled,2,none,yes,1
less_0,14,delayed,repairs,12738,less_100,less_1yr,4,male_married,none,4,no_property,22,none,rent,2,skilled,2,none,yes,1
less_0,54,existing_paid,repairs,10329,no_known_savings,over_7yr,3,female_div,none,2,no_property,63,none,rent,1,skilled,2,yes,yes,1
0_to_200,44,critical,car,10994,less_100,over_7yr,4,male_married,none,1,car,69,bank,own,2,unskilled_resident,1,none,yes,0
over_200,20,existing_paid,repairs,4059,less_100,over_7yr,3,male_single,none,2,no_property,36,none,own,2,highly_qualified,2,yes,yes,1
less_0,49,critical,furniture,7456,less_100,1_to_4yr,2,male_single,none,3,savings_insurance,47,none,free,4,skilled,1,yes,yes,0
no_checking,35,existing_paid,retraining,13996,less_100,1_to_4yr,4,female_div,none,3,savings_insurance,53,none,rent,1,skilled,1,yes,yes,1
0_to_200,57,existing_paid,radio_tv,16245,less_100,4_to_7yr,2,female_div,none,3,real_estate,70,none,own,3,skilled,2,none,yes,1
no_checking,23,critical,domestic,16285,no_known_savings,less_1yr,1,male_single,guarantor,1,real_estate,56,none,own,1,skilled,2,none,yes,0
less_0,36,critical,radio_tv,11921,less_100,1_to_4yr,3,male_single,co-applicant,2,real_estate,34,none,own,4,unskilled_resident,2,none,yes,0
no_checking,43,critical,radio_tv,13460,less_100,1_to_4yr,3,female_div,none,1,real_estate,38,none,own,1,unskilled_resident,2,none,yes,0
no_checking,35,existing_paid,domestic,18043,100_to_500,less_1yr,2,male_single,none,4,real_estate,42,none,own,1,unskilled_resident,2,yes,yes,1
over_200,5,delayed,repairs,5447,less_100,1_to_4yr,2,male_single,none,4,real_estate,53,none,own,2,skilled,1,none,yes,1
0_to_200,36,existing_paid,car,15803,less_100,over_7yr,1,male_single,none,4,real_estate,62,none,own,2,skilled,1,none,no,1
0_to_200,33,delayed,domestic,7702,over_1000,over_7yr,4,female_div,none,4,no_property,69,none,rent,1,skilled,2,none,yes,1
less_0,36,delayed,business,8968,less_100,less_1yr,3,female_div,none,3,real_estate,37,none,own,1,unskilled_resident,2,yes,yes,0
no_checking,29,existing_paid,retraining,15109,500_to_1000,less_1yr,3,male_single,none,2,car,74,none,own,3,skilled,2,none,yes,1
no_checking,25,critical,others,2422,less_100,less_1yr,1,female_div,none,3,real_estate,22,none,own,4,skilled,2,none,yes,0
no_checking,69,existing_paid,repairs,13408,less_100,over_7yr,1,female_div,none,2,no_property,51,stores,own,2,skilled,1,none,no,1
less_0,41,existing_paid,domestic,16913,no_known_savings,less_1yr,2,male_single,none,2,no_property,20,none,own,2,highly_qualified,1,none,yes,1
0_to_200,49,existing_paid,business,11335,less_100,4_to_7yr,2,female_div,none,1,car,31,none,own,2,skilled,1,yes,yes,1
0_to_200,18,existing_paid,others,4231,no_known_savings,less_1yr,4,male_single,none,4,car,63,none,own,2,skilled,2,none,yes,1
no_checking,47,existing_paid,retraining,5497,less_100,1_to_4yr,1,male_single,none,2,real_estate,48,bank,own,1,skilled,2,yes,yes,1
over_200,52,critical,retraining,10803,less_100,1_to_4yr,4,male_single,none,4,no_property,52,none,own,1,skilled,2,none,yes,0
0_to_200,64,critical,repairs,6385,less_100,4_to_7yr,1,male_single,none,4,no_property,48,bank,own,3,unskilled_resident,1,none,yes,0
less_0,70,critical,domestic,5823,less_100,less_1yr,3,male_single,none,4,no_property,69,none,rent,2,skilled,1,none,yes,0
less_0,9,existing_paid,car,13981,no_known_savings,4_to_7yr,1,female_div,none,3,car,72,none,own,2,skilled,1,none,yes,1
less_0,12,critical,retraining,7439,less_100,less_1yr,1,female_div,none,4,savings_insurance,42,none,own,1,unskilled_nonresident,2,yes,yes,0
no_checking,9,existing_paid,car,14791,less_100,4_to_7yr,3,female_div,none,2,no_property,66,none,own,3,skilled,1,none,yes,1
no_checking,35,no_credits,car,11128,over_1000,over_7yr,1,male_single,none,3,savings_insurance,62,bank,free,1,skilled,2,yes,yes,1
0_to_200,44,existing_paid,repairs,11337,less_100,less_1yr,4,male_single,none,4,car,51,bank,own,2,unskilled_resident,1,none,yes,1
no_checking,11,existing_paid,others,13917,500_to_1000,over_7yr,2,male_single,none,1,real_estate,59,none,rent,2,skilled,2,yes,yes,1
no_checking,53,critical,education,3026,less_100,1_to_4yr,2,male_single,none,4,no_property,67,none,rent,4,skilled,2,yes,yes,1
no_checking,65,existing_paid,radio_tv,9561,less_100,less_1yr,4,male_single,none,4,real_estate,28,none,rent,4,skilled,2,yes,yes,1
no_checking,65,existing_paid,radio_tv,7947,less_100,1_to_4yr,3,female_div,none,3,real_estate,36,none,own,4,unskilled_resident,2,none,yes,0
0_to_200,10,critical,retraining,14879,less_100,less_1yr,1,male_married,none,2,car,37,none,own,3,highly_qualified,1,yes,yes,0
0_to_200,7,critical,education,8636,less_100,4_to_7yr,4,male_single,none,4,no_property,25,stores,free,1,unskilled_resident,1,yes,yes,0
less_0,9,existing_paid,others,17296,less_100,4_to_7yr,2,male_single,none,3,car,37,none,own,2,skilled,1,none,yes,1
no_checking,61,existing_paid,education,8294,less_100,less_1yr,2,female_div,none,3,real_estate,42,none,own,2,unskilled_resident,2,none,yes,1
less_0,25,existing_paid,repairs,9865,less_100,1_to_4yr,4,male_single,none,2,real_estate,33,none,own,3,skilled,1,none,yes,1
less_0,29,existing_paid,retraining,15284,less_100,over_7yr,2,female_div,none,3,no_property,59,none,own,2,unskilled_resident,2,none,yes,1
no_checking,6,existing_paid,car,5310,less_100,over_7yr,4,female_div,none,2,no_property,60,none,own,2,unskilled_resident,1,none,yes,1
less_0,44,existing_paid,retraining,11150,less_100,1_to_4yr,2,male_married,co-applicant,1,no_property,41,none,own,1,unskilled_resident,1,none,yes,1
less_0,63,existing_paid,radio_tv,5831,100_to_500,over_7yr,4,male_single,none,4,savings_insurance,70,bank,own,4,skilled,2,yes,yes,1
less_0,17,delayed,others,2264,less_100,1_to_4yr,1,female_div,none,3,no_property,70,none,own,4,skilled,2,none,yes,0
less_0,15,existing_paid,education,13247,no_known_savings,1_to_4yr,1,male_single,none,1,savings_insurance,22,none,own,3,unskilled_resident,2,yes,yes,0
no_checking,15,existing_paid,others,10885,less_100,over_7yr,1,female_div,none,3,car,56,none,rent,4,highly_qualified,1,none,yes,1
no_checking,16,existing_paid,repairs,13898,less_100,1_to_4yr,1,male_single,none,3,savings_insurance,22,none,rent,4,skilled,2,yes,yes,1
less_0,28,existing_paid,retraining,7398,less_100,1_to_4yr,2,male_single,none,1,savings_insurance,23,none,own,3,skilled,1,none,yes,0
less_0,48,existing_paid,domestic,14272,less_100,1_to_4yr,3,male_single,none,3,no_property,59,none,own,3,unskilled_resident,1,yes,yes,1
0_to_200,22,existing_paid,retraining,6169,less_100,over_7yr,4,male_single,none,3,car,62,none,rent,4,skilled,1,none,yes,1
less_0,58,existing_paid,car,16136,less_100,over_7yr,3,female_div,none,1,savings_insurance,41,none,own,1,skilled,2,none,yes,1
no_checking,48,existing_paid,retraining,6888,500_to_1000,1_to_4yr,2,female_div,none,3,real_estate,58,none,own,3,skilled,1,yes,yes,1
no_checking,11,existing_paid,business,4901,500_to_1000,1_to_4yr,2,female_div,none,2,real_estate,71,bank,own,2,skilled,2,none,yes,1
less_0,56,critical,repairs,859,less_100,1_to_4yr,3,male_single,none,3,car,55,stores,own,3,skilled,2,none,yes,0
no_checking,58,existing_paid,furniture,8190,less_100,1_to_4yr,3,female_div,none,4,real_estate,29,none,rent,2,skilled,1,none,yes,1
less_0,35,critical,repairs,10598,less_100,less_1yr,2,male_single,none,3,real_estate,73,bank,rent,3,unskilled_resident,1,yes,yes,0
over_200,54,existing_paid,education,4116,no_known_savings,4_to_7yr,2,male_div,none,4,car,29,none,rent,3,skilled,1,none,yes,1
less_0,47,existing_paid,furniture,17005,less_100,1_to_4yr,4,male_married,co-applicant,4,car,31,none,own,4,unskilled_resident,1,yes,yes,1
no_checking,21,existing_paid,education,17249,less_100,1_to_4yr,1,male_single,none,3,no_property,32,none,own,4,skilled,2,none,yes,1
less_0,25,all_paid,education,2503,500_to_1000,less_1yr,1,female_div,none,1,savings_insurance,26,none,own,4,unskilled_resident,2,none,yes,0
less_0,40,existing_paid,car,5192,no_known_savings,less_1yr,4,male_single,none,2,no_property,43,bank,own,1,highly_qualified,2,yes,yes,1
less_0,59,existing_paid,car,12580,less_100,over_7yr,3,male_single,none,2,no_property,36,none,free,4,skilled,2,none,yes,1
over_200,62,existing_paid,radio_tv,1114,less_100,1_to_4yr,2,male_single,none,3,no_property,69,none,own,4,skilled,2,yes,yes,1
no_checking,6,existing_paid,radio_tv,1518,less_100,less_1yr,3,male_single,none,1,car,62,none,rent,3,skilled,2,none,yes,1
over_200,31,critical,domestic,7704,no_known_savings,1_to_4yr,1,female_div,none,1,savings_insurance,62,none,rent,3,skilled,2,none,yes,1
0_to_200,38,critical,furniture,13916,over_1000,1_to_4yr,1,male_single,none,2,no_property,36,bank,own,1,skilled,2,none,yes,1
no_checking,64,delayed,others,12620,less_100,unemployed,3,male_single,none,1,real_estate,28,none,own,2,skilled,2,none,yes,1
no_checking,57,existing_paid,retraining,5479,less_100,1_to_4yr,1,female_div,none,3,real_estate,25,none,rent,3,unskilled_resident,1,yes,yes,1
no_checking,66,critical,retraining,16559,less_100,1_to_4yr,2,female_div,none,3,savings_insurance,68,none,own,3,highly_qualified,1,yes,yes,0
no_checking,10,critical,education,4304,less_100,1_to_4yr,4,male_married,none,1,real_estate,62,none,own,2,skilled,2,none,yes,1
no_checking,52,critical,radio_tv,1185,less_100,1_to_4yr,3,female_div,none,3,no_property,32,none,own,1,highly_qualified,2,none,yes,0
0_to_200,34,no_credits,education,12422,no_known_savings,1_to_4yr,2,female_div,none,4,car,33,none,rent,3,unskilled_nonresident,1,none,yes,0
no_checking,61,delayed,business,10780,no_known_savings,over_7yr,2,male_single,none,2,car,34,none,rent,4,skilled,1,yes,yes,0
no_checking,64,existing_paid,business,15810,100_to_500,1_to_4yr,1,male_single,none,3,car,20,none,rent,1,unskilled_resident,1,yes,yes,1
0_to_200,27,critical,others,16406,less_100,less_1yr,2,male_single,none,1,savings_insurance,48,none,free,2,skilled,2,none,yes,0
no_checking,23,existing_paid,car,16959,less_100,less_1yr,3,male_single,none,2,real_estate,48,none,own,2,skilled,1,none,yes,1
0_to_200,40,critical,car,9976,less_100,1_to_4yr,2,female_div,none,3,car,36,bank,own,4,skilled,1,none,yes,0
no_checking,7,critical,radio_tv,8024,less_100,4_to_7yr,4,male_single,none,2,car,49,stores,free,4,skilled,1,yes,yes,1
no_checking,23,existing_paid,radio_tv,2235,no_known_savings,less_1yr,2,female_div,none,1,savings_insurance,62,none,own,4,skilled,1,yes,yes,1
0_to_200,63,critical,business,14502,less_100,4_to_7yr,2,male_single,none,4,no_property,66,none,own,1,skilled,1,none,yes,0
less_0,27,critical,car,4853,no_known_savings,unemployed,4,male_single,none,4,real_estate,31,none,own,2,skilled,2,none,yes,0
0_to_200,53,critical,furniture,16210,no_known_savings,1_to_4yr,2,male_single,none,3,real_estate,38,none,own,4,skilled,1,none,yes,0
0_to_200,52,critical,furniture,9712,no_known_savings,4_to_7yr,2,female_div,none,4,real_estate,67,none,own,4,skilled,2,none,yes,1
0_to_200,54,critical,radio_tv,14416,100_to_500,1_to_4yr,1,female_div,none,3,savings_insurance,68,none,own,2,skilled,1,yes,yes,0
no_checking,39,delayed,education,8004,no_known_savings,1_to_4yr,3,male_div,none,2,no_property,53,stores,own,3,highly_qualified,1,none,yes,0
no_checking,69,existing_paid,car,14496,no_known_savings,less_1yr,1,male_single,none,3,no_property,41,bank,free,1,skilled,1,yes,yes,1
0_to_200,37,existing_paid,furniture,4328,less_100,4_to_7yr,3,male_married,none,3,savings_insurance,60,none,rent,3,highly_qualified,1,none,yes,1
0_to_200,39,existing_paid,car,13103,100_to_500,unemployed,4,male_single,none,3,car,51,none,own,4,unskilled_nonresident,1,none,yes,1
over_200,9,delayed,repairs,18001,less_100,over_7yr,4,male_single,none,4,car,56,none,rent,1,skilled,2,yes,yes,1
less_0,42,all_paid,retraining,4292,less_100,less_1yr,4,male_married,none,3,real_estate,53,bank,own,3,unskilled_resident,2,none,yes,0
no_checking,45,existing_paid,business,16534,no_known_savings,over_7yr,3,male_single,none,1,real_estate,69,bank,own,2,unskilled_resident,2,yes,yes,1
0_to_200,61,critical,car,14639,less_100,1_to_4yr,3,female_div,none,3,no_property,54,none,own,4,skilled,2,none,yes,0
no_checking,15,existing_paid,retraining,2825,less_100,4_to_7yr,3,male_single,none,2,car,38,none,own,1,highly_qualified,2,none,yes,1
over_200,6,critical,repairs,7004,less_100,1_to_4yr,4,female_div,none,1,no_property,73,none,own,1,skilled,2,yes,yes,1
0_to_200,21,delayed,car,18215,less_100,over_7yr,3,male_div,none,2,savings_insurance,21,none,own,1,highly_qualified,2,none,yes,1
less_0,43,existing_paid,radio_tv,2236,less_100,less_1yr,2,male_single,none,2,car,26,none,own,1,unskilled_resident,1,none,yes,0
0_to_200,24,existing_paid,retraining,15720,no_known_savings,less_1yr,1,female_div,none,2,real_estate,58,stores,own,4,unskilled_resident,2,yes,yes,1
0_to_200,18,existing_paid,car,6218,less_100,1_to_4yr,4,male_single,none,1,real_estate,50,bank,rent,4,skilled,1,none,yes,1
no_checking,29,existing_paid,retraining,7743,no_known_savings,less_1yr,1,female_div,none,1,car,47,none,own,2,skilled,1,none,yes,0
0_to_200,11,no_credits,repairs,4353,less_100,less_1yr,2,male_single,none,4,savings_insurance,25,none,rent,2,unskilled_resident,2,yes,yes,1
less_0,45,critical,car,2326,over_1000,over_7yr,3,male_single,none,1,real_estate,20,bank,own,2,highly_qualified,1,none,yes,1
0_to_200,47,critical,car,3244,over_1000,over_7yr,1,male_single,none,3,real_estate,39,none,rent,3,skilled,1,none,yes,1
no_checking,17,existing_paid,car,3994,100_to_500,1_to_4yr,2,male_single,co-applicant,2,real_estate,24,stores,own,2,highly_qualified,2,none,no,1
0_to_200,5,existing_paid,others,14716,less_100,over_7yr,2,male_div,guarantor,4,car,46,none,own,4,skilled,1,none,yes,1
no_checking,40,existing_paid,radio_tv,14773,less_100,1_to_4yr,1,male_single,none,1,savings_insurance,66,none,own,3,skilled,2,yes,yes,1
